"Value","Qty","Reference","Footprint"
"SSD1306_OLED","1","G1","GS_Development_Boards:ADAFRUIT_SSD1306_OLED"
"BNO085","1","U5","GS_Development_Boards:ADAFRUIT_BNO085"
"LM2596_Breakout","1","U2","GS_Development_Boards:LM2596_Breakout"
"CD4051B","1","U3","Package_DIP:DIP-16_W7.62mm_LongPads"
"MCT6","1","U1","Package_DIP:DIP-8_W7.62mm_LongPads"
"ESP32_PICO-1","1","U4","GS_Development_Boards:ESP32_PICO_1_DEV_KIT"
"BATT","1","J3","GS_Connectors:JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal"
"Wing0_S","1","J1","GS_Connectors:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal"
"Wing0_SW","1","J2","GS_Connectors:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal"
"Wing1_S","1","J4","GS_Connectors:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal"
"Wing1_SW","1","J5","GS_Connectors:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal"
"Arm_I","1","J11","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"Intake_I","1","J12","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"Basket_S","1","J19","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"Reflectance","1","J10","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical"
"I2C0","1","J14","GS_Connectors:JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal"
"I2C1","1","J16","GS_Connectors:JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal"
"Drivetrain_M","1","J7","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical"
"Arm_M","2","J8,J9","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical"
"9V","1","J6","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal"
"PW_OUT","1","J17","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal"
"User.Input","1","J13","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-4P_1x04_P2.54mm_Horizontal"
"Extra","1","J15","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-5P_1x05_P2.54mm_Horizontal"
"IRFZ44","1","Q1","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown"
"47uF","2","C4,C5","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm"
"IN0","1","RV1","GS_Resistors:ENPH253_Potentiometer"
"IN1","1","RV2","GS_Resistors:ENPH253_Potentiometer"
"IN2","1","RV3","GS_Resistors:ENPH253_Potentiometer"
"IN3","1","RV4","GS_Resistors:ENPH253_Potentiometer"
"470R","1","R1","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal"
"10K","1","R2","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal"
"4k7","4","R3,R4,R5,R6","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal"
"100nF","15","C1,C2,C3,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm"
